"TimeStep","Velocity:0","Velocity:1","Total Energy","Internal Energy","Temperature","Speed of Sound","Pressure","Total Enthalpy","Mach Number","Density","Points:0","Points:1","Points:2"
119,340.52,-10.249,2.2328e+05,1.6524e+05,230.26,304.19,46276,2.8938e+05,1.12,0.70005,0.69428,0.01698,0
119,340.54,-10.39,2.233e+05,1.6525e+05,230.28,304.21,46299,2.894e+05,1.12,0.70036,0.69399,0.025688,0
119,302.21,-10.638,2.1959e+05,1.7376e+05,242.14,311.93,55173,2.891e+05,0.97,0.79307,0.71926,0.016153,0
119,302.21,-10.946,2.1961e+05,1.7377e+05,242.15,311.94,55197,2.8912e+05,0.97,0.79337,0.71929,0.024859,0
119,304.77,-10.639,2.1982e+05,1.7319e+05,241.33,311.4,54563,2.891e+05,0.98,0.78673,0.71801,0.016196,0
119,304.77,-10.935,2.1984e+05,1.732e+05,241.35,311.41,54588,2.8912e+05,0.98,0.78703,0.71804,0.024901,0
119,307.33,-10.639,2.2005e+05,1.7261e+05,240.53,310.88,53954,2.891e+05,0.99,0.78039,0.71677,0.016238,0
119,307.34,-10.925,2.2007e+05,1.7262e+05,240.54,310.89,53978,2.8912e+05,0.99,0.7807,0.71679,0.024943,0
119,309.9,-10.64,2.2028e+05,1.7203e+05,239.72,310.36,53344,2.8909e+05,1,0.77406,0.71552,0.016281,0
119,309.9,-10.915,2.203e+05,1.7204e+05,239.74,310.37,53368,2.8912e+05,1,0.77436,0.71554,0.024986,0
119,312.46,-10.641,2.2051e+05,1.7145e+05,238.92,309.84,52734,2.8909e+05,1.01,0.76772,0.71428,0.016323,0
119,312.46,-10.904,2.2053e+05,1.7147e+05,238.94,309.85,52758,2.8911e+05,1.01,0.76802,0.71429,0.025028,0
119,315.02,-10.641,2.2074e+05,1.7088e+05,238.11,309.31,52125,2.8909e+05,1.02,0.76138,0.71303,0.016366,0
119,315.03,-10.894,2.2076e+05,1.7089e+05,238.13,309.33,52149,2.8911e+05,1.02,0.76169,0.71304,0.02507,0
119,317.58,-10.642,2.2097e+05,1.703e+05,237.31,308.79,51515,2.8909e+05,1.03,0.75504,0.71178,0.016408,0
119,317.59,-10.884,2.2099e+05,1.7031e+05,237.33,308.8,51539,2.8911e+05,1.03,0.75535,0.71179,0.025113,0
119,320.15,-10.643,2.212e+05,1.6972e+05,236.51,308.27,50905,2.8909e+05,1.04,0.74871,0.71054,0.016451,0
119,320.15,-10.873,2.2122e+05,1.6974e+05,236.53,308.28,50929,2.8911e+05,1.04,0.74901,0.71053,0.025155,0
119,322.71,-10.643,2.2143e+05,1.6915e+05,235.7,307.75,50296,2.8909e+05,1.05,0.74237,0.70929,0.016493,0
